BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,Average MeanDiff,Average VarianceDiff,MaxDiff,MinDiff
1,ResNet50,Height,ADV,2,0.046921764,0.006458894151340715,0.62211,0.0
1,ResNet50,Height,ADV,4,0.07219637500000001,0.008613017995959737,0.5951799999999999,0.0
1,ResNet50,Height,ADV,8,0.17404544979999997,0.029627426340192674,1.07939,0.0
1,ResNet50,Height,ADV,16,0.2015349548,0.030856993325653354,0.98706,0.0
1,ResNet50,Height,COV,2,0.0236409033,0.0004205203234605813,0.25775000000000003,0.0
1,ResNet50,Height,COV,4,0.027496244600000004,0.001044329700612336,0.35795,0.0
1,ResNet50,Height,COV,8,0.0456980137,0.0038898797741778223,0.5027600000000001,0.0
1,ResNet50,Height,COV,16,0.08400874,0.008264045599394986,0.6988000000000001,0.0
1,ResNet50,Height,IID,2,0.031643795,0.0031405201985913664,0.53518,0.0
1,ResNet50,Height,IID,4,0.0594134009,0.011095240025425756,0.72932,0.0
1,ResNet50,Height,IID,8,0.06590687529999999,0.008047106819416446,0.57077,0.0
1,ResNet50,Height,IID,16,0.111448993,0.020457738757609378,0.7984600000000001,0.0
1,ResNet50,Height,OOD,2,0.0704927451,0.006059898313321061,0.56831,0.0
1,ResNet50,Height,OOD,4,0.1465554227,0.01781818780734335,0.7368700000000001,0.0
1,ResNet50,Height,OOD,8,0.1840864002,0.02061003509637505,0.67743,0.0
1,ResNet50,Height,OOD,16,0.22756829879999999,0.02974076398288115,0.77383,0.0
1,ResNet50,Ratio,ADV,2,0.019441458000000002,0.0002887463302633389,0.23992999999999998,0.0
1,ResNet50,Ratio,ADV,4,0.0927712031,0.009013500094938894,0.56689,0.0
1,ResNet50,Ratio,ADV,8,0.2030230267,0.0202828950407282,0.80008,0.0
1,ResNet50,Ratio,ADV,16,0.2997197143,0.032108161067495866,0.8893,0.0
1,ResNet50,Ratio,COV,2,0.0166752615,0.0002161120361446192,0.22948000000000002,0.0
1,ResNet50,Ratio,COV,4,0.0197916941,0.0003216624660070478,0.34059,0.0
