BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,MeanDiff,VarianceDiff,TotalRows
3,ResNet50,Height,OOD,4,1,0.147824763,0.03389198000021394,20000
4,ResNet50,Height,IID,8,0,0.0096715505,0.013518765173519617,20000
3,ResNet50,Ratio,COV,16,1,0.063273802,0.042518939739502,20000
1,ResNet50,Height,COV,4,2,-0.006193180000000002,0.0017324224041878032,20000
3,ResNet50,Height,COV,8,4,-0.0011953440000000014,0.007277523467915089,20000
2,ResNet50,Height,IID,2,1,0.007819711999999998,0.005109052949824543,20000
1,VGG19,Ratio,IID,4,1,0.002854750999999999,0.00013925649026251248,20000
1,VGG19,Height,ADV,8,0,-0.0551134365,0.01823822430705068,20000
2,VGG19,Ratio,IID,16,2,0.151450456,0.022802338204212295,20000
5,VGG19,Height,OOD,8,0,0.10254573300000001,0.06292884473168935,20000
4,VGG19,Ratio,ADV,4,2,0.05422354499999999,0.00870532750989848,20000
2,ResNet50,Ratio,ADV,16,3,-0.38610768900000003,0.04740737754782652,20000
4,ResNet50,Ratio,OOD,8,1,-0.337670677,0.06423092972353825,20000
3,ResNet50,Ratio,IID,8,2,0.0036940979999999977,0.0010051685294528677,20000
3,ResNet50,Ratio,IID,16,0,-0.04485237499999999,0.039618864273493024,20000
4,ResNet50,Ratio,COV,4,4,-0.006797682500000002,0.0010282455240703987,20000
5,ResNet50,Ratio,ADV,4,2,0.10580198500000002,0.019909271037911697,20000
5,VGG19,Ratio,OOD,2,4,-0.13176577350000002,0.016695859875225507,20000
4,VGG19,Height,ADV,2,2,-0.101575738,0.04818386299688568,20000
2,VGG19,Height,OOD,4,3,0.0329106815,0.020828147077194308,20000
2,VGG19,Ratio,COV,16,3,0.019773352999999997,0.013888453232649024,20000
2,VGG19,Height,OOD,16,0,0.117614554,0.056433531538927696,20000
5,VGG19,Height,OOD,16,3,0.1969825145,0.06185186796107006,20000
5,VGG19,Ratio,OOD,16,0,-0.28643347599999996,0.055383678131343816,20000
3,VGG19,Ratio,COV,2,0,0.003429158000000001,0.00012098909140560584,20000
2,VGG19,Height,OOD,16,2,-0.009753927,0.07378058637283677,20000
2,VGG19,Ratio,COV,16,1,0.0222873895,0.01681306979922021,20000
2,VGG19,Height,OOD,4,1,0.028227653,0.02883775390666694,20000
3,VGG19,Ratio,COV,2,2,0.004984735499999998,0.0002386657184159589,20000
5,VGG19,Ratio,OOD,16,2,-0.3542775345,0.06887346580864666,20000
2,VGG19,Height,COV,8,4,0.012641778499999997,0.0028634050943966635,20000
5,VGG19,Height,OOD,16,1,0.259890743,0.08353614929405263,20000
5,ResNet50,Ratio,ADV,4,0,0.20068053749999998,0.03600994195252359,20000
4,VGG19,Height,ADV,2,0,-0.021442888499999996,0.0056365043999015915,20000
4,VGG19,Ratio,IID,2,4,-0.005273653500000003,0.0004569318759007328,20000
3,ResNet50,Ratio,IID,8,0,-0.0019118309999999995,0.0017167780338391463,20000
4,ResNet50,Ratio,OOD,8,3,-0.338634824,0.05835435209772397,20000
2,ResNet50,Ratio,ADV,16,1,-0.09093488549999999,0.05250351235614481,20000
3,ResNet50,Ratio,IID,16,2,0.188995913,0.03758952595064409,20000
4,VGG19,Height,IID,4,4,-0.0008979215000000016,0.0032153727832840173,20000
4,VGG19,Ratio,ADV,4,0,0.102419748,0.0240964081852859,20000
5,VGG19,Height,OOD,8,2,0.054521975,0.06622045429132377,20000
5,ResNet50,Ratio,IID,2,4,-0.011998401500000002,0.0013921547011048554,20000
2,VGG19,Ratio,IID,16,0,-0.06221594700000001,0.02327956244395535,20000
1,VGG19,Height,ADV,8,2,-0.2035265075,0.05819343960491779,20000
1,VGG19,Ratio,IID,4,3,-0.0053007995000000025,0.0001849996929204455,20000
3,ResNet50,Ratio,COV,16,3,0.0681552625,0.039352581177340216,20000
3,ResNet50,Height,OOD,4,3,0.12555032100000002,0.024558990889671423,20000
4,ResNet50,Height,IID,8,2,-0.1497254585,0.05990426065540295,20000
2,VGG19,Ratio,ADV,8,1,0.0171305635,0.0024242015513950437,20000
1,ResNet50,Ratio,ADV,2,1,0.0027681554999999993,0.0005407877872421878,20000
2,ResNet50,Height,IID,2,3,0.009905081999999999,0.0007168584636864629,20000
1,ResNet50,Height,COV,4,0,-0.007831118499999998,0.0014325558906684867,20000
5,ResNet50,Ratio,IID,4,2,0.0026259994999999984,0.002818662863284144,20000
2,ResNet50,Ratio,OOD,4,1,-0.2504139045,0.0555669916435725,20000
5,VGG19,Height,COV,2,1,0.006820681500000001,0.0005203769187564946,20000
4,VGG19,Height,IID,2,2,-0.049201650500000006,0.0249984150523136,20000
2,ResNet50,Ratio,COV,8,4,-0.012250818000000004,0.002601986915026619,20000
3,ResNet50,Ratio,ADV,8,2,0.11014990250000001,0.015946306381284556,20000
2,ResNet50,Height,ADV,16,2,-0.239193481,0.06412656193699992,20000
5,ResNet50,Height,OOD,8,4,0.27414406049999995,0.07609766823747942,20000
5,ResNet50,Height,COV,4,1,-0.0009983560000000006,0.0025245419526348976,20000
1,VGG19,Ratio,ADV,4,1,-0.0027765940000000007,0.00037624057676800116,20000
1,VGG19,Height,IID,8,0,-0.003973419999999998,0.0003711058557463858,20000
4,VGG19,Ratio,ADV,16,0,0.5392560325,0.057995887214965,20000
3,VGG19,Ratio,COV,4,4,-0.004038677000000003,0.00029314616228778536,20000
1,ResNet50,Ratio,IID,2,3,0.0002213284999999976,0.0006697137917196778,20000
2,VGG19,Ratio,IID,8,3,0.009965796499999999,0.0004898182180664892,20000
4,ResNet50,Height,ADV,8,0,-0.083669093,0.0440276225038224,20000
2,ResNet50,Height,ADV,2,1,-0.022208806500000004,0.009367238736507397,20000
3,VGG19,Ratio,OOD,8,1,-0.3205126445,0.0638052802576344,20000
4,VGG19,Ratio,IID,4,2,0.0044204089999999975,0.00047635551676856325,20000
5,VGG19,Ratio,OOD,4,0,-0.15081445000000002,0.0348907569095031,20000
5,ResNet50,Ratio,OOD,16,4,-0.5018338084999999,0.06941085190007516,20000
4,ResNet50,Ratio,COV,2,0,0.0004111400000000005,0.0007752131256766816,20000
4,ResNet50,Ratio,COV,2,1,0.00016786399999999926,0.0007227403507850421,20000
5,VGG19,Ratio,OOD,4,1,-0.21866843349999998,0.044120299872384736,20000
5,VGG19,Ratio,COV,8,4,-0.032269105,0.002516209996198779,20000
4,VGG19,Ratio,IID,4,3,-0.007933055500000003,0.0004036289235550991,20000
3,VGG19,Ratio,OOD,8,0,-0.253064742,0.05999581594504116,20000
2,ResNet50,Height,ADV,2,0,-0.028308932999999994,0.006566991296386323,20000
4,ResNet50,Height,ADV,8,1,-0.20688198600000002,0.07089571460618621,20000
2,VGG19,Ratio,IID,8,2,0.006508827499999998,0.000385704418251157,20000
1,ResNet50,Ratio,IID,2,2,0.003017413499999998,0.0005063950533376822,20000
4,VGG19,Ratio,ADV,16,1,-0.10895820250000002,0.03470309222283529,20000
1,VGG19,Height,IID,8,1,-0.08069403450000001,0.023174222072351387,20000
1,VGG19,Ratio,ADV,4,0,0.1376847,0.018689375761448156,20000
5,ResNet50,Height,COV,4,0,-0.004484703999999998,0.0014539051130980309,20000
3,ResNet50,Height,OOD,2,4,0.091648153,0.0173167882902931,20000
2,ResNet50,Height,IID,4,4,-0.005234796000000002,0.004444664408738832,20000
3,VGG19,Height,ADV,8,4,-0.029092105000000004,0.032978454688873615,20000
2,ResNet50,Height,ADV,16,3,-0.26494723849999996,0.05421968828685316,20000
1,VGG19,Ratio,IID,2,4,-0.005619534500000002,9.766119395800786e-05,20000
3,ResNet50,Ratio,ADV,8,3,0.2600811055,0.08695922667189658,20000
4,VGG19,Height,IID,2,3,-0.0038670995000000003,0.00024239148233621584,20000
2,ResNet50,Ratio,OOD,4,0,-0.184920415,0.0500118922369196,20000
5,ResNet50,Ratio,IID,4,3,0.0012389764999999964,0.0019201771464947626,20000
5,VGG19,Height,COV,2,0,-0.0026605874999999987,0.0004911717913594119,20000
2,ResNet50,Height,IID,2,2,-0.07578829100000001,0.030432961515985114,20000
1,ResNet50,Height,COV,4,1,-0.011871975,0.0010739586272907418,20000
1,ResNet50,Ratio,ADV,2,0,0.0044916980000000006,0.0005814836888412367,20000
2,VGG19,Ratio,ADV,8,0,0.16303667099999997,0.028926956854540397,20000
4,ResNet50,Height,IID,8,3,-0.019392753000000002,0.006821365406091264,20000
3,ResNet50,Height,OOD,4,2,0.0894606015,0.028572941159681252,20000
3,ResNet50,Ratio,COV,16,2,0.085857082,0.05232906391088085,20000
1,ResNet50,Height,OOD,8,4,0.098612229,0.05384388185889467,20000
1,VGG19,Ratio,IID,4,2,0.007085258499999998,0.0004833203208392215,20000
1,VGG19,Height,ADV,8,3,-0.2819022835000001,0.05212092598561994,20000
2,VGG19,Ratio,IID,16,1,0.0161261525,0.03808369097029029,20000
5,VGG19,Height,OOD,8,3,0.14211566150000002,0.05919737510318748,20000
4,VGG19,Ratio,ADV,4,1,0.001090958999999999,0.000597169497835212,20000
3,ResNet50,Ratio,IID,16,3,0.17049313899999996,0.018814416381985714,20000
4,ResNet50,Ratio,OOD,8,2,-0.3267499065,0.08029580873741331,20000
3,ResNet50,Ratio,IID,8,1,0.018236405,0.003935326216236787,20000
2,ResNet50,Ratio,ADV,16,0,0.5385144885,0.05785352040349857,20000
1,ResNet50,Ratio,OOD,16,4,-0.4955623595,0.06968676517830662,20000
4,VGG19,Height,ADV,2,1,-0.011710357000000001,0.005916597829934051,20000
