BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,MeanDiff,VarianceDiff,TotalRows
4,VGG19,Height,ADV,4,1,-0.09181998350000001,0.03566205476441273,20000
5,ResNet50,Ratio,ADV,2,1,-0.002255086000000001,0.000817778995272365,20000
5,ResNet50,Ratio,OOD,16,3,-0.3818233375,0.04664677050534099,20000
3,VGG19,Ratio,COV,4,3,-0.0029058000000000027,0.0001832503219660968,20000
1,ResNet50,Ratio,IID,2,4,-0.004619450500000002,0.00043139475721090984,20000
2,VGG19,Ratio,IID,8,4,0.006043092499999997,0.0008667648276928277,20000
1,VGG19,Height,OOD,16,0,0.1659534155,0.0515163997320761,20000
2,VGG19,Height,OOD,2,0,0.021686970000000003,0.0025259855028942338,20000
1,VGG19,Ratio,IID,2,2,-0.001355404500000002,0.00021947564265851368,20000
5,ResNet50,Height,OOD,8,3,0.210955753,0.06186410042170376,20000
3,VGG19,Height,ADV,8,2,-0.258363176,0.07162579063856506,20000
2,ResNet50,Height,IID,4,2,-0.08665999900000002,0.03200152273233661,20000
1,ResNet50,Height,COV,2,1,-0.011724856,0.0007173054468716104,20000
1,ResNet50,Ratio,ADV,4,0,0.175219381,0.03193527585568962,20000
3,ResNet50,Height,OOD,2,2,0.0226529135,0.009065532753314119,20000
2,ResNet50,Ratio,COV,8,3,-0.0008127695000000027,0.0008829943677832548,20000
4,VGG19,Ratio,ADV,2,1,-0.002051388000000001,0.00027904144249558244,20000
5,ResNet50,Height,ADV,16,1,-0.25076246999999996,0.11542181721263028,20000
1,VGG19,Ratio,IID,4,4,-0.008576776000000003,0.00012769942578711352,20000
1,ResNet50,Height,OOD,16,0,0.14453418199999998,0.05554099842251166,20000
5,ResNet50,Height,COV,2,0,0.0008500865000000012,0.0010985370889619647,20000
3,ResNet50,Height,OOD,4,4,0.1872532935,0.045796154199357945,20000
1,ResNet50,Height,OOD,8,2,0.036552238,0.03887770285267384,20000
3,ResNet50,Ratio,COV,16,4,-0.0427754835,0.0394571870782798,20000
2,ResNet50,Height,IID,2,4,-0.003139251000000002,0.0007703773507665316,20000
3,ResNet50,Height,COV,8,1,-0.062381197,0.025742926427938632,20000
4,VGG19,Height,IID,4,3,-0.033698587,0.007478815941520498,20000
2,ResNet50,Ratio,OOD,2,0,-0.0443788005,0.007028571068239644,20000
5,ResNet50,Ratio,IID,2,3,-0.0027072660000000037,0.0009488382517078287,20000
5,VGG19,Height,COV,4,0,-0.010014478999999998,0.0009179196961333666,20000
5,VGG19,Ratio,OOD,2,1,-0.07939931200000001,0.01305435491621247,20000
1,ResNet50,Ratio,OOD,16,2,-0.3723798930000001,0.06873616262463987,20000
4,VGG19,Ratio,IID,2,3,-0.0008833450000000026,0.00022332369196557362,20000
4,ResNet50,Ratio,OOD,8,4,-0.4451478875,0.07823862879464286,20000
4,ResNet50,Ratio,COV,4,1,0.005146909999999999,0.0007681985634000746,20000
1,VGG19,Ratio,ADV,2,0,0.0026808525000000007,0.00039161022227935744,20000
2,ResNet50,Height,ADV,4,0,-0.015979791999999996,0.010089815500051795,20000
3,VGG19,Height,IID,8,0,-0.0033016319999999992,0.002678364212137192,20000
1,ResNet50,Ratio,IID,4,2,0.009145101999999999,0.0010686512142603034,20000
2,VGG19,Height,COV,8,3,0.018349360500000002,0.0031195173580439613,20000
5,VGG19,Ratio,IID,4,2,0.005244106499999998,0.0010729081772105215,20000
4,ResNet50,Height,OOD,16,0,0.1918419095,0.04771596685814134,20000
5,VGG19,Height,ADV,8,2,-0.26236143300000003,0.07741485465709892,20000
4,VGG19,Ratio,OOD,4,0,-0.16268350250000002,0.03878007319877734,20000
3,ResNet50,Ratio,COV,2,1,0.0009738094999999993,0.000793908545830011,20000
1,VGG19,Height,OOD,8,2,0.1059242945,0.038310144121828545,20000
3,VGG19,Ratio,IID,8,3,0.0026929729999999974,0.0002946457266076019,20000
3,ResNet50,Height,OOD,16,4,0.2038672535,0.06329708013755922,20000
2,VGG19,Ratio,COV,4,4,-0.0158583355,0.0004638638932791033,20000
1,ResNet50,Ratio,OOD,2,1,-0.09186181449999999,0.018070582346999868,20000
2,VGG19,Ratio,OOD,8,1,-0.32418502600000004,0.0652316382050092,20000
3,ResNet50,Height,ADV,4,3,-0.042064255999999994,0.020784958609946943,20000
2,ResNet50,Height,COV,8,2,-0.0308290815,0.012598308837953263,20000
2,VGG19,Height,ADV,4,1,-0.09684009400000002,0.046939135081745305,20000
4,ResNet50,Height,COV,2,3,0.0020917474999999994,0.0009471015240774485,20000
4,VGG19,Height,OOD,2,0,0.022288563,0.0026667899533226757,20000
5,ResNet50,Ratio,OOD,4,0,-0.16766809850000003,0.03953853037083771,20000
2,ResNet50,Ratio,IID,4,3,0.003569572499999998,0.0007110975327688847,20000
1,VGG19,Ratio,OOD,16,2,-0.3706714145,0.07053021678822319,20000
4,ResNet50,Ratio,ADV,8,3,-0.067116795,0.05597975704233999,20000
1,VGG19,Ratio,COV,8,4,-0.0029628970000000025,0.00041108402310854344,20000
1,VGG19,Ratio,OOD,4,1,-0.22296612049999998,0.047481122648997086,20000
3,VGG19,Ratio,ADV,8,1,0.0787198935,0.015957781069807025,20000
2,ResNet50,Height,OOD,2,1,0.052873951499999995,0.017318458177579606,20000
3,ResNet50,Height,IID,4,1,-0.11266142500000001,0.05359957957421818,20000
4,ResNet50,Height,OOD,8,0,0.132663011,0.044480063808974596,20000
5,VGG19,Ratio,ADV,4,0,0.15534372049999998,0.029899302203153167,20000
4,VGG19,Height,COV,8,3,-0.034589182499999996,0.009651693407747103,20000
5,VGG19,Height,IID,8,0,-0.039370914,0.011052917619285533,20000
5,ResNet50,Height,IID,16,1,-0.1015818445,0.0503189402330747,20000
4,ResNet50,Ratio,OOD,16,0,-0.303152001,0.06086729073084248,20000
2,ResNet50,Height,COV,16,4,-0.009014616500000003,0.012428281284617133,20000
2,ResNet50,Ratio,ADV,4,1,0.018631848,0.003245152487639268,20000
5,VGG19,Ratio,IID,2,4,-0.002018568500000002,0.0005677141870151572,20000
3,ResNet50,Ratio,OOD,8,2,-0.31559460100000003,0.07407055975090865,20000
4,ResNet50,Ratio,IID,8,1,0.0074200785,0.003949160684523041,20000
1,VGG19,Height,COV,2,1,-0.002103097500000001,0.00019618318994999185,20000
3,VGG19,Height,COV,4,0,-0.0034021959999999993,0.0005340958719911846,20000
5,ResNet50,Height,COV,16,0,0.015659057,0.021774036257273654,20000
5,ResNet50,Height,ADV,8,4,-0.006435855000000001,0.0424583310302407,20000
2,VGG19,Height,IID,4,3,-0.0194990665,0.005400299160601589,20000
2,VGG19,Ratio,COV,2,2,0.004507982499999998,0.00030265139579448424,20000
1,ResNet50,Ratio,COV,8,2,-0.006355527500000002,0.0010782194215228217,20000
3,VGG19,Height,OOD,8,4,0.16194582800000001,0.058771857258687436,20000
1,ResNet50,Ratio,COV,8,3,-0.0005891020000000024,0.0006442550120842014,20000
2,VGG19,Ratio,COV,2,3,-0.0041243710000000025,0.00013052670902980923,20000
2,VGG19,Height,IID,4,2,-0.0730448875,0.03599968842645861,20000
3,VGG19,Height,COV,4,1,-0.002626712500000001,0.00045057368304149187,20000
3,ResNet50,Height,ADV,2,4,-0.011300332000000001,0.004000176791199331,20000
5,ResNet50,Height,COV,16,1,0.0113938365,0.024993496985815513,20000
1,VGG19,Height,COV,2,0,-0.003397602999999998,0.00016608062713574745,20000
4,ResNet50,Ratio,IID,8,0,-0.0019428404999999995,0.001837341130363069,20000
3,ResNet50,Ratio,OOD,8,3,-0.32039058049999997,0.053224187010168546,20000
2,ResNet50,Ratio,ADV,4,0,0.18335033550000002,0.03200443186210562,20000
4,ResNet50,Ratio,OOD,16,1,-0.38570336400000005,0.059978976448125894,20000
5,ResNet50,Height,IID,16,0,0.06846723850000001,0.03278033236783755,20000
5,VGG19,Height,IID,8,1,-0.09633908149999999,0.03829219602328228,20000
2,ResNet50,Ratio,IID,2,4,-0.013437667500000004,0.000737676863057607,20000
4,VGG19,Height,COV,8,2,-0.046012491999999995,0.010598939577798797,20000
5,VGG19,Ratio,ADV,4,1,0.002867789999999999,0.0027500955870452697,20000
3,VGG19,Ratio,OOD,16,4,-0.5007297055,0.07088304069984303,20000
4,ResNet50,Height,OOD,8,1,0.08670262649999999,0.04578617758739576,20000
3,ResNet50,Height,IID,4,0,-0.0010849579999999985,0.0022324867346549615,20000
2,ResNet50,Height,OOD,2,0,0.05236477500000001,0.010222866283443523,20000
3,VGG19,Ratio,ADV,8,0,-0.016643319,0.003922077701329305,20000
4,ResNet50,Height,COV,4,4,0.006533558499999998,0.0027343751398290713,20000
2,ResNet50,Height,IID,16,4,0.03063959699999999,0.021740908006737836,20000
1,VGG19,Ratio,OOD,4,0,-0.12396952999999998,0.024818217301404,20000
4,ResNet50,Ratio,ADV,8,2,0.1434323745,0.024699976862719863,20000
1,VGG19,Ratio,OOD,16,3,-0.374903035,0.049647700205939116,20000
2,ResNet50,Ratio,IID,4,2,0.003327736499999998,0.001123949127287941,20000
5,ResNet50,Ratio,OOD,4,1,-0.255492684,0.0534905312811798,20000
5,ResNet50,Ratio,COV,8,4,-0.033049316,0.004304164587901533,20000
4,VGG19,Height,OOD,2,1,0.014652240499999998,0.005409637096149973,20000
4,ResNet50,Height,COV,2,2,-0.010066524500000004,0.0019382867134815577,20000
2,VGG19,Height,ADV,4,0,-0.014415761499999999,0.007029527114085817,20000
2,ResNet50,Height,COV,8,3,-0.014422125,0.007842340755412099,20000
3,VGG19,Height,OOD,16,4,0.3048423145,0.06420831394439566,20000
3,ResNet50,Height,ADV,4,2,-0.181377857,0.06867565382779912,20000
1,ResNet50,Height,ADV,8,4,-0.002645173500000002,0.020189049319995815,20000
2,VGG19,Ratio,OOD,8,0,-0.253232479,0.060190310598444464,20000
1,ResNet50,Ratio,OOD,2,0,-0.046593288000000004,0.006622746619050011,20000
3,VGG19,Ratio,IID,8,2,0.003923287499999997,0.0004154290521699548,20000
2,VGG19,Height,IID,2,4,-0.0009474760000000018,0.00029845223893137273,20000
1,VGG19,Height,OOD,8,3,0.15681738399999998,0.042997317568504966,20000
3,ResNet50,Ratio,COV,2,0,0.007564717,0.0008765335939196089,20000
3,ResNet50,Ratio,ADV,16,4,-0.14689651550000002,0.03651228398396219,20000
4,VGG19,Ratio,OOD,4,1,-0.25601278499999996,0.06290708185979677,20000
5,VGG19,Height,ADV,8,3,-0.3369884485,0.0629439889648862,20000
4,ResNet50,Height,OOD,16,1,0.1178021415,0.06656173541624957,20000
5,VGG19,Ratio,IID,4,3,-0.0043200445000000035,0.0003179860180739219,20000
4,VGG19,Ratio,COV,8,4,0.003296867999999997,0.0012338196899550733,20000
5,VGG19,Height,ADV,8,1,-0.16026696899999998,0.051871540254345726,20000
4,VGG19,Ratio,OOD,4,3,-0.245235102,0.06090596299962002,20000
2,ResNet50,Ratio,ADV,2,4,0.0037196464999999976,0.0006552057420871444,20000
5,VGG19,Ratio,IID,4,1,-0.00949648,0.0003865070359713978,20000
4,ResNet50,Height,OOD,16,3,0.1540394725,0.06478522560168666,20000
3,ResNet50,Ratio,COV,2,2,-0.003031702000000002,0.0009617011895226692,20000
1,VGG19,Height,OOD,8,1,0.169819477,0.043738933639148624,20000
1,VGG19,Height,COV,4,4,0.0003238559999999978,0.0007587910823453863,20000
1,ResNet50,Ratio,OOD,2,2,-0.07265457000000002,0.014092720239546896,20000
2,VGG19,Ratio,OOD,8,2,-0.303444033,0.0791477906748487,20000
3,ResNet50,Height,ADV,4,0,-0.026131075999999996,0.011252471302617355,20000
3,VGG19,Ratio,IID,8,0,-0.008578092999999998,0.001275663185622629,20000
1,VGG19,Ratio,OOD,2,4,-0.10258796200000002,0.01068510198558575,20000
2,VGG19,Height,ADV,4,2,-0.17177316799999998,0.07034230745909688,20000
4,ResNet50,Height,COV,2,0,-0.0038716304999999985,0.0010734641058717587,20000
2,ResNet50,Ratio,COV,16,4,-0.03379672300000001,0.03216619324274327,20000
2,ResNet50,Height,OOD,4,4,0.098406566,0.048884918254470326,20000
3,ResNet50,Height,IID,2,4,-0.007636892000000002,0.001303767726866671,20000
2,ResNet50,Height,COV,8,1,0.0215623085,0.010354559786675136,20000
5,ResNet50,Ratio,OOD,4,3,-0.24980592350000003,0.05410271461225754,20000
2,ResNet50,Ratio,IID,4,0,-0.0029430509999999995,0.0008779162687548412,20000
4,VGG19,Height,OOD,2,3,0.014933685500000002,0.0009301027746608196,20000
2,VGG19,Ratio,ADV,16,4,-0.1469974545,0.029617464307320852,20000
4,ResNet50,Ratio,ADV,8,0,0.16649580400000003,0.027612447707048994,20000
1,VGG19,Ratio,OOD,16,1,-0.38489624050000004,0.05971780719882118,20000
1,VGG19,Ratio,OOD,4,2,-0.176272392,0.045632422828039684,20000
4,ResNet50,Height,OOD,8,3,0.172121161,0.04977703948208599,20000
3,ResNet50,Height,IID,4,2,-0.08335696849999999,0.026447776615375774,20000
1,ResNet50,Height,IID,8,4,-0.018796463,0.007047253917225483,20000
2,VGG19,Height,ADV,2,4,0.008073883499999998,0.0008654086148941725,20000
3,VGG19,Ratio,ADV,8,2,-0.013203827000000001,0.0017712067256003543,20000
2,ResNet50,Height,OOD,2,2,0.020101872499999996,0.009015177251041251,20000
5,VGG19,Height,IID,8,3,-0.029161618,0.008843586872555697,20000
5,VGG19,Ratio,ADV,4,3,-0.014687654500000003,0.008724701555011379,20000
4,VGG19,Height,COV,8,0,-0.033785075500000004,0.012146939258907122,20000
5,ResNet50,Height,IID,16,2,-0.13573088849999998,0.05848664754049245,20000
2,ResNet50,Ratio,ADV,4,2,0.11907615249999999,0.01930037374748924,20000
4,ResNet50,Ratio,OOD,16,3,-0.38518991350000004,0.04961320641926855,20000
3,ResNet50,Ratio,OOD,8,1,-0.32101517,0.0620928415230969,20000
4,ResNet50,Ratio,IID,8,2,0.002911220499999998,0.0011306485746041116,20000
3,ResNet50,Ratio,COV,4,4,-0.010927803000000003,0.0012547284701966968,20000
1,VGG19,Height,COV,2,2,0.00028131749999999806,0.0004061973189751426,20000
4,VGG19,Ratio,IID,16,4,0.08527141549999999,0.010116669210481937,20000
2,VGG19,Height,IID,4,0,-0.0018013984999999985,0.00035556516692754597,20000
2,VGG19,Ratio,COV,2,1,-0.004469778500000001,0.00019934502771732415,20000
1,ResNet50,Ratio,COV,8,1,-0.011513276999999999,0.0019070043991112366,20000
1,ResNet50,Ratio,OOD,4,4,-0.3082141155,0.04996142089131254,20000
5,ResNet50,Height,COV,16,3,0.041466026499999996,0.02782570918926566,20000
3,VGG19,Height,COV,4,3,-0.0012332390000000008,0.0018408198390508267,20000
5,ResNet50,Height,COV,16,2,-0.003416170000000002,0.03780590256614961,20000
3,VGG19,Height,COV,4,2,-1.225950000000129e-05,0.0012003115784185773,20000
1,ResNet50,Ratio,COV,8,0,0.0078216645,0.0012008545728430726,20000
2,VGG19,Ratio,COV,2,0,0.004244613,0.00010452403936220046,20000
2,VGG19,Height,IID,4,1,-0.11985136,0.051987389483164725,20000
1,VGG19,Height,COV,2,3,0.005464818,0.00015828290360205555,20000
4,ResNet50,Ratio,IID,8,3,0.056499524999999995,0.007317556558342323,20000
3,ResNet50,Ratio,OOD,8,0,-0.250555078,0.054488135340660895,20000
4,VGG19,Ratio,OOD,2,4,-0.12815081949999999,0.01701540830026858,20000
4,ResNet50,Ratio,OOD,16,2,-0.3714450925,0.07116846391763719,20000
2,ResNet50,Ratio,ADV,4,3,0.0642624545,0.008784704192270011,20000
5,ResNet50,Height,IID,16,3,-0.131644652,0.052166135185468136,20000
4,VGG19,Height,COV,8,1,-0.029254223000000003,0.01081838587116976,20000
5,VGG19,Ratio,ADV,4,2,0.049990193,0.008238791507768097,20000
5,ResNet50,Ratio,OOD,2,4,-0.16895477999999997,0.027296344385160983,20000
5,VGG19,Height,IID,8,2,-0.133531786,0.05189781546466376,20000
4,VGG19,Ratio,COV,16,4,-0.007507077500000002,0.02544524865913702,20000
4,VGG19,Height,OOD,4,4,0.086015453,0.039511457001275195,20000
2,ResNet50,Height,OOD,2,3,0.0465864735,0.006170996373287431,20000
3,VGG19,Ratio,ADV,8,3,0.15735745699999998,0.06909271895049098,20000
3,ResNet50,Height,IID,4,3,-0.0407172975,0.007656562900006505,20000
4,ResNet50,Height,OOD,8,2,0.05875686499999999,0.04980541018387042,20000
1,VGG19,Ratio,OOD,4,3,-0.21819195449999998,0.04972276165692763,20000
1,VGG19,Ratio,OOD,16,0,-0.301279742,0.058916592078026804,20000
4,ResNet50,Ratio,ADV,8,1,0.08214695849999999,0.014779276876288085,20000
4,VGG19,Height,OOD,2,2,0.005754442999999999,0.005360504872233324,20000
2,ResNet50,Ratio,IID,4,1,0.005452978499999999,0.0007068980055538144,20000
5,VGG19,Ratio,ADV,2,4,-0.016341010000000003,0.0006022536917744858,20000
5,ResNet50,Ratio,OOD,4,2,-0.1931314575,0.0524606614514034,20000
2,ResNet50,Height,COV,8,0,-0.032661379,0.00921811054936581,20000
4,ResNet50,Height,COV,2,1,4.0439999999990705e-06,0.0008532910576289407,20000
2,VGG19,Height,ADV,4,3,-0.0509770275,0.01843143429331403,20000
5,ResNet50,Height,IID,8,4,0.0067869839999999985,0.015649782927910107,20000
4,VGG19,Height,OOD,16,4,0.09996083999999998,0.06760201816693312,20000
3,VGG19,Ratio,IID,8,1,0.0034230959999999996,0.001713781918480702,20000
3,ResNet50,Height,ADV,4,1,-0.0957843595,0.049092235377018636,20000
2,VGG19,Ratio,OOD,8,3,-0.31876892799999995,0.060714799645392746,20000
1,ResNet50,Ratio,OOD,2,3,-0.07293477000000001,0.012441000072780806,20000
3,VGG19,Height,COV,2,4,0.0005661589999999978,0.0002375659805357454,20000
1,VGG19,Height,OOD,8,0,0.154372212,0.041738078058680045,20000
2,ResNet50,Ratio,IID,16,4,0.07409876399999998,0.018255708011412825,20000
3,ResNet50,Ratio,COV,2,3,-0.0017039705000000027,0.0005832893107356638,20000
4,ResNet50,Height,OOD,16,2,0.026165702,0.07624547597148587,20000
5,VGG19,Ratio,IID,4,0,0.009075107500000002,0.0007170612475008214,20000
4,VGG19,Ratio,OOD,4,2,-0.19769868799999998,0.061405336827530056,20000
5,VGG19,Height,ADV,8,0,-0.1078773865,0.03424426238393383,20000
3,ResNet50,Ratio,ADV,16,3,-0.38112906300000005,0.04778937929337661,20000
2,ResNet50,Ratio,IID,16,0,-0.046644417,0.03378148948912448,20000
5,VGG19,Height,ADV,8,4,-0.0379980725,0.019597409629251265,20000
2,ResNet50,Ratio,ADV,2,1,0.004189669999999998,0.000457316773449774,20000
5,VGG19,Ratio,IID,4,4,-0.013333246000000003,0.0014043811499309768,20000
4,VGG19,Ratio,COV,8,3,-0.0016220555000000022,0.00034146315408762376,20000
3,VGG19,Height,COV,2,0,0.0031026755000000015,0.0002387276399287002,20000
1,ResNet50,Height,ADV,8,3,-0.25389118150000006,0.040209491047831655,20000
3,ResNet50,Height,OOD,16,2,0.07473643749999999,0.06855784718416316,20000
2,VGG19,Height,IID,2,3,-0.003004749,0.00010606414597429773,20000
2,VGG19,Ratio,COV,4,2,0.0006731949999999979,0.0006459978337636615,20000
1,VGG19,Height,OOD,8,4,0.08771361,0.04976279146065117,20000
1,VGG19,Height,COV,4,1,-0.0022333205000000015,0.00035396624187136977,20000
2,ResNet50,Ratio,COV,16,1,0.0276577135,0.02045738091222253,20000
2,ResNet50,Height,OOD,4,1,0.09983903250000001,0.036125032500304,20000
5,ResNet50,Height,IID,8,0,0.07294466800000002,0.02523362472527606,20000
4,VGG19,Height,OOD,16,0,0.0607485935,0.063380175440359,20000
2,ResNet50,Height,COV,8,4,0.005257083499999997,0.004595442150386536,20000
3,ResNet50,Height,IID,2,1,0.014432097499999998,0.006225354277709366,20000
3,VGG19,Height,OOD,16,3,0.3032360435,0.058586405165499116,20000
1,VGG19,Ratio,OOD,2,1,-0.057289436,0.00886348254929942,20000
2,VGG19,Ratio,ADV,16,1,-0.07946178,0.04572930272706778,20000
1,VGG19,Ratio,OOD,16,4,-0.496230207,0.07063723120603667,20000
5,VGG19,Ratio,ADV,2,0,0.019848335999999998,0.00099871251859703,20000
5,ResNet50,Ratio,COV,8,3,-0.0013625430000000036,0.0013594345113987182,20000
1,ResNet50,Height,IID,8,1,-0.043130669,0.012125008186861798,20000
2,VGG19,Height,ADV,2,1,0.0157791105,0.003718147602493909,20000
4,ResNet50,Height,COV,4,3,-0.0026736485,0.004234288401533514,20000
2,ResNet50,Height,IID,16,3,-0.136747269,0.04950481862830339,20000
1,VGG19,Ratio,COV,8,2,0.006917691499999998,0.000472150293290497,20000
4,VGG19,Height,OOD,4,0,0.052982937,0.02689671041376475,20000
4,VGG19,Ratio,COV,16,0,-0.0018796029999999994,0.016453856611052954,20000
5,ResNet50,Ratio,OOD,2,0,-0.040391790999999996,0.007057121651184885,20000
2,ResNet50,Ratio,IID,2,3,-0.001569989000000002,0.0004939308873642475,20000
3,VGG19,Ratio,OOD,16,3,-0.3764607705,0.04994998135309919,20000
3,ResNet50,Ratio,OOD,8,4,-0.406315953,0.06842640040296197,20000
3,ResNet50,Ratio,COV,4,1,0.005551977,0.0008003084923260875,20000
5,VGG19,Ratio,IID,2,2,0.009011938499999999,0.0008139417666555477,20000
2,ResNet50,Height,COV,16,2,0.026616455499999993,0.023871003263694814,20000
4,VGG19,Ratio,OOD,2,0,-0.029897823499999997,0.003935916507203221,20000
3,VGG19,Height,OOD,8,3,0.178400939,0.04942717111026361,20000
5,ResNet50,Height,ADV,8,2,-0.27119412099999995,0.07086879486175059,20000
1,ResNet50,Ratio,COV,8,4,-0.021913432000000004,0.0020048651722999883,20000
2,VGG19,Ratio,COV,2,4,-0.017830605500000003,0.00032535596280651316,20000
1,ResNet50,Ratio,OOD,4,1,-0.22733670000000003,0.0433004103329765,20000
3,ResNet50,Height,ADV,2,3,-0.004911558500000001,0.0024384529239922623,20000
4,VGG19,Ratio,IID,16,1,0.027971925500000005,0.03789867050774272,20000
4,VGG19,Ratio,IID,16,0,-0.027575016,0.0393297267506775,20000
3,ResNet50,Height,ADV,2,2,-0.12759926500000002,0.05012099392656606,20000
1,ResNet50,Ratio,OOD,4,0,-0.15030663,0.03288045077016138,20000
5,ResNet50,Height,ADV,8,3,-0.3880224385,0.06467667985340114,20000
3,VGG19,Height,OOD,8,2,0.045574141,0.05546564010726778,20000
2,VGG19,Height,IID,4,4,-0.006751910500000002,0.0031279501054202767,20000
4,VGG19,Ratio,OOD,2,1,-0.07983464700000001,0.013341854814156128,20000
2,ResNet50,Height,COV,16,3,0.011173319000000001,0.02327683224138638,20000
5,VGG19,Ratio,IID,2,3,0.011158193499999998,0.00029874340398175356,20000
3,ResNet50,Ratio,COV,4,0,0.004437821000000001,0.000923540769090411,20000
2,ResNet50,Ratio,IID,2,2,0.0030896364999999978,0.0006666449754016381,20000
4,VGG19,Height,COV,8,4,-0.0046550240000000015,0.005004906283273594,20000
5,ResNet50,Ratio,OOD,2,1,-0.105253405,0.021617516833447595,20000
3,VGG19,Ratio,OOD,16,2,-0.3729377855,0.07087049542597183,20000
4,VGG19,Ratio,COV,16,1,0.023099819999999997,0.01911748391787356,20000
4,VGG19,Height,OOD,4,1,0.039707769500000004,0.02688847032886627,20000
1,VGG19,Ratio,COV,8,3,0.005410939999999997,0.0001951022399884005,20000
2,ResNet50,Height,IID,16,2,-0.11597092199999999,0.04492072093343677,20000
4,ResNet50,Height,COV,4,2,-0.005167398500000002,0.00424904653845415,20000
2,VGG19,Height,ADV,2,0,-0.023311653999999998,0.004446601935071005,20000
1,ResNet50,Height,IID,8,0,-0.0012144344999999988,0.004653964938927168,20000
5,ResNet50,Ratio,COV,8,2,-0.019660267000000006,0.00432862429753362,20000
2,ResNet50,Ratio,IID,4,4,0.0005990384999999978,0.0011467499510680863,20000
5,VGG19,Ratio,ADV,2,1,-0.0015686160000000012,0.0002230846221456521,20000
4,ResNet50,Ratio,ADV,8,4,-0.123296687,0.030469825573422784,20000
2,VGG19,Ratio,ADV,16,0,0.5383075264999999,0.057766858232798965,20000
1,VGG19,Ratio,OOD,2,0,-0.0286031705,0.002908696671786513,20000
3,VGG19,Height,OOD,16,2,-0.0011636000000000025,0.07156115711024566,20000
3,ResNet50,Height,IID,2,0,0.004473295500000002,0.0011647631826238079,20000
4,VGG19,Height,OOD,16,1,0.1424276575,0.058765948115013546,20000
5,ResNet50,Height,IID,8,1,-0.10133115150000001,0.041929909729155515,20000
2,ResNet50,Height,OOD,4,0,0.1380433305,0.03134522023494432,20000
2,ResNet50,Ratio,COV,16,0,-0.016007289999999997,0.01817405419219544,20000
4,ResNet50,Height,COV,2,4,0.0025351839999999976,0.0010854905938458316,20000
1,VGG19,Height,COV,4,0,0.0080241565,0.0003018517733071735,20000
3,VGG19,Ratio,IID,8,4,-0.011309842000000002,0.0013705117119506328,20000
3,ResNet50,Height,OOD,16,3,0.25971211799999994,0.059929947204944066,20000
2,VGG19,Ratio,COV,4,3,0.0018106574999999974,0.0001726931745014211,20000
2,VGG19,Height,IID,2,2,-0.0746465015,0.026997395746692996,20000
3,VGG19,Height,COV,2,1,-0.0040248085,0.0004166219422904433,20000
3,ResNet50,Height,ADV,4,4,-0.020249954500000004,0.021525233152640724,20000
1,ResNet50,Height,ADV,8,2,-0.184878737,0.04569800306680797,20000
2,ResNet50,Ratio,ADV,2,0,0.0169533135,0.0014593582175966024,20000
4,VGG19,Ratio,COV,8,2,-0.003975620500000002,0.001295156918750922,20000
2,ResNet50,Ratio,IID,16,1,0.0208550905,0.04072380212252799,20000
3,ResNet50,Ratio,ADV,16,2,0.0912451945,0.029314702248574836,20000
2,ResNet50,Ratio,IID,16,3,0.18494010049999998,0.01932286260601534,20000
3,ResNet50,Ratio,ADV,16,0,0.5387820725000001,0.057905378458512916,20000
3,ResNet50,Ratio,COV,2,4,-0.006826493000000002,0.0009925544683743622,20000
4,VGG19,Ratio,COV,8,0,-0.005054302999999999,0.0005738224869185354,20000
2,ResNet50,Ratio,ADV,2,2,0.002019245999999998,0.0006689372503639995,20000
2,VGG19,Height,IID,2,0,-8.774599999999849e-05,0.0003010734467218216,20000
2,VGG19,Ratio,COV,4,1,-0.004024181000000001,0.00017944731953521676,20000
3,ResNet50,Height,OOD,16,1,0.147880824,0.06195445236766921,20000
2,VGG19,Ratio,OOD,8,4,-0.414370799,0.0758203977380089,20000
1,ResNet50,Ratio,OOD,2,4,-0.15715341749999998,0.023563274972064396,20000
1,ResNet50,Height,ADV,8,0,-0.060899934499999996,0.02042787668540498,20000
3,VGG19,Height,COV,2,3,0.006842067499999999,0.0002708556775943233,20000
1,VGG19,Height,COV,4,2,-0.008049202500000002,0.0006207131118345855,20000
3,ResNet50,Height,IID,2,2,-0.0656021755,0.0314055849635202,20000
3,VGG19,Height,OOD,16,0,0.157301278,0.06014982448787113,20000
2,VGG19,Height,ADV,4,4,-0.031313443,0.015851288060308735,20000
2,ResNet50,Ratio,COV,16,2,0.039346993999999996,0.0323143851683824,20000
5,ResNet50,Height,IID,8,3,-0.019945281,0.011288115997910934,20000
2,ResNet50,Height,OOD,4,2,0.07672687749999998,0.030934389980323863,20000
4,VGG19,Height,OOD,16,3,0.07883887649999999,0.06732611463738498,20000
1,VGG19,Ratio,OOD,2,2,-0.0491526065,0.006862918816361936,20000
2,VGG19,Ratio,ADV,16,2,0.12825893649999998,0.023965542859846915,20000
5,ResNet50,Ratio,COV,8,0,0.004189786000000002,0.00205353007254784,20000
5,VGG19,Ratio,ADV,2,3,0.00032405099999999616,0.00044691289468413417,20000
2,VGG19,Height,ADV,2,2,-0.11325085200000001,0.04793063315962209,20000
4,ResNet50,Height,COV,4,0,-0.0011593244999999984,0.0010859467260250118,20000
