BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,TotalRows,MeanDiff,VarianceDiff,MaxDiff,MinDiff
3,VGG19,Ratio,OOD,8,3,20000,0.319113605,0.058649450097509034,0.79722,0.01963999999999999
2,ResNet50,Height,ADV,2,3,20000,0.0347769635,0.002267151609115147,0.32355,0.0
4,VGG19,Ratio,ADV,16,2,20000,0.060096375,0.006374047722965512,0.48389999999999994,9.99999999995449e-06
1,VGG19,Height,IID,8,2,20000,0.121322191,0.034894976449022064,0.67413,0.0
1,VGG19,Ratio,ADV,4,3,20000,0.0361781875,0.0008403072984247645,0.27599999999999997,0.0
1,ResNet50,Height,COV,2,4,20000,0.020769753,0.00028828977602779465,0.17906,0.0
5,ResNet50,Height,COV,4,3,20000,0.040627741,0.003652794353924621,0.42240999999999995,0.0
2,ResNet50,Height,ADV,16,0,20000,0.13806352300000002,0.028188916769506932,0.81396,0.0
3,ResNet50,Ratio,ADV,8,0,20000,0.2008800515,0.0289230341596806,0.71909,0.0
5,ResNet50,Height,ADV,16,4,20000,0.2591599395,0.015055242850283895,0.6885,2.0000000000020002e-05
5,VGG19,Height,COV,2,3,20000,0.015684265,0.00023050202107082683,0.16401,0.0
2,ResNet50,Ratio,OOD,4,3,20000,0.24652300299999996,0.058260848925558176,0.74956,0.0
5,ResNet50,Ratio,IID,4,0,20000,0.031085375499999998,0.0014680938141797052,0.44782,0.0
4,VGG19,Ratio,ADV,2,4,20000,0.015270647999999998,0.00016696004499234496,0.21414,0.0
4,VGG19,Height,IID,2,0,20000,0.0129868425,0.00023537766989868974,0.15165000000000006,0.0
1,ResNet50,Ratio,ADV,2,3,20000,0.0199606135,0.00029423244711097526,0.21347,0.0
2,VGG19,Ratio,ADV,8,3,20000,0.14034194400000002,0.016918661332427535,0.85742,9.99999999995449e-06
3,ResNet50,Height,OOD,4,1,20000,0.17262913900000001,0.025942923471512044,0.72038,9.99999999995449e-06
4,ResNet50,Height,IID,8,0,20000,0.08885303250000001,0.005717052592518604,0.5004,1.9999999999992246e-05
3,ResNet50,Ratio,COV,16,1,20000,0.16540685900000002,0.019161916903649222,0.6122299999999999,9.99999999995449e-06
1,ResNet50,Height,COV,4,2,20000,0.029061354000000005,0.0009261752740303826,0.22468999999999995,0.0
3,ResNet50,Height,COV,8,4,20000,0.052567661999999994,0.004515455123629941,0.46771,9.99999999995449e-06
2,ResNet50,Height,IID,2,1,20000,0.044087090999999995,0.0032264351218537963,0.40189,0.0
1,VGG19,Ratio,IID,4,1,20000,0.008581169,7.376635762131948e-05,0.09332000000000001,0.0
1,VGG19,Height,ADV,8,0,20000,0.0633736085,0.017259451996963607,0.63124,0.0
2,VGG19,Ratio,IID,16,2,20000,0.168182683,0.017453896543658698,0.5187,0.0
5,VGG19,Height,OOD,8,0,20000,0.219258683,0.025368223986264742,0.53741,1.0000000000010001e-05
4,VGG19,Ratio,ADV,4,2,20000,0.057736844999999995,0.008311957403206071,0.56977,0.0
2,ResNet50,Ratio,ADV,16,3,20000,0.38610768900000003,0.04740737754782652,0.78731,0.10268
4,ResNet50,Ratio,OOD,8,1,20000,0.337912292,0.0640676905825255,0.90799,0.0
3,ResNet50,Ratio,IID,8,2,20000,0.022309339,0.0005210840786470133,0.27954999999999997,0.0
3,ResNet50,Ratio,IID,16,0,20000,0.155306753,0.017509306811357483,0.5951200000000001,1.0000000000010001e-05
4,ResNet50,Ratio,COV,4,4,20000,0.021388915499999998,0.0006169477402858759,0.27863000000000004,0.0
5,ResNet50,Ratio,ADV,4,2,20000,0.123883151,0.01575608830702649,0.69531,0.0
5,VGG19,Ratio,OOD,2,4,20000,0.1336794955,0.01618784602345148,0.42764,0.0
4,VGG19,Height,ADV,2,2,20000,0.120008617,0.044099221160785664,0.84783,0.0
2,VGG19,Height,OOD,4,3,20000,0.11093899849999998,0.009603237400322068,0.39124000000000003,0.0
2,VGG19,Ratio,COV,16,3,20000,0.09233903,0.005752535464282329,0.48167,9.99999999995449e-06
2,VGG19,Height,OOD,16,0,20000,0.20808938200000002,0.026964050476352017,0.82246,1.0000000000065512e-05
5,VGG19,Height,OOD,16,3,20000,0.2667952405,0.029472659665945585,0.6514300000000001,4.0000000000040004e-05
5,VGG19,Ratio,OOD,16,0,20000,0.28651562999999997,0.05533660571686893,0.79557,0.0
3,VGG19,Ratio,COV,2,0,20000,0.008283467999999999,6.412953090952142e-05,0.13327999999999995,0.0
2,VGG19,Height,OOD,16,2,20000,0.235699397,0.018318746626607735,0.72539,4.999999999999449e-05
2,VGG19,Ratio,COV,16,1,20000,0.0925944835,0.00873565528458744,0.45113000000000003,0.0
2,VGG19,Height,OOD,4,1,20000,0.12369957899999999,0.014332243180241865,0.45629999999999993,0.0
3,VGG19,Ratio,COV,2,2,20000,0.011278587500000001,0.0001363016522224537,0.24402000000000001,0.0
5,VGG19,Ratio,OOD,16,2,20000,0.35432903849999997,0.06883696791081594,0.86367,0.0
2,VGG19,Height,COV,8,4,20000,0.024339748499999998,0.0024307746694752544,0.31116,0.0
5,VGG19,Height,OOD,16,1,20000,0.31599064200000004,0.05122764633442462,0.7120299999999999,0.0
5,ResNet50,Ratio,ADV,4,0,20000,0.21230687750000002,0.031208169761403382,0.73214,0.0
4,VGG19,Height,ADV,2,0,20000,0.0363763045,0.0047730231639864906,0.40857,0.0
4,VGG19,Ratio,IID,2,4,20000,0.0140923665,0.00028613996397287714,0.24466999999999994,0.0
3,ResNet50,Ratio,IID,8,0,20000,0.019079359999999997,0.001356393134357114,0.56108,0.0
4,ResNet50,Ratio,OOD,8,3,20000,0.338634824,0.05835435209772397,0.79448,0.009729999999999989
2,ResNet50,Ratio,ADV,16,1,20000,0.2020680975,0.01993952153023199,0.60388,0.03341999999999995
3,ResNet50,Ratio,IID,16,2,20000,0.21724409699999997,0.026113409594184255,0.5888,0.0
4,VGG19,Height,IID,4,4,20000,0.0271787155,0.0024774595744138086,0.34191000000000005,0.0
4,VGG19,Ratio,ADV,4,0,20000,0.10808222500000002,0.022904386003609417,0.79514,9.99999999995449e-06
5,VGG19,Height,OOD,8,2,20000,0.206148147,0.02669406521823729,0.57122,9.99999999995449e-06
5,ResNet50,Ratio,IID,2,4,20000,0.0259562405,0.0008623634292026241,0.2986,0.0
2,VGG19,Ratio,IID,16,0,20000,0.11262816299999999,0.014464842668318767,0.5246500000000001,0.0
1,VGG19,Height,ADV,8,2,20000,0.2072246505,0.056674347130594584,0.7566299999999999,9.99999999995449e-06
1,VGG19,Ratio,IID,4,3,20000,0.0115719425,7.91830242029035e-05,0.15866999999999998,0.0
3,ResNet50,Ratio,COV,16,3,20000,0.17814424550000002,0.012260994199670729,0.9956,1.0000000000010001e-05
3,ResNet50,Height,OOD,4,3,20000,0.147470171,0.018574123414731473,0.6965300000000001,0.0
4,ResNet50,Height,IID,8,2,20000,0.1736467375,0.05216839734087814,0.89228,0.0
2,VGG19,Ratio,ADV,8,1,20000,0.036159251499999996,0.0014101155838839527,0.38662,0.0
1,ResNet50,Ratio,ADV,2,1,20000,0.0184036245,0.00020974052501425164,0.1622,0.0
2,ResNet50,Height,IID,2,3,20000,0.022325119999999997,0.00031653811408130343,0.14837999999999996,0.0
1,ResNet50,Height,COV,4,0,20000,0.0265267615,0.0007901811132127746,0.35795,0.0
5,ResNet50,Ratio,IID,4,2,20000,0.032962683500000006,0.0017389662483062503,0.5769,0.0
2,ResNet50,Ratio,OOD,4,1,20000,0.2515448085,0.054999296142430446,0.83929,0.0
5,VGG19,Height,COV,2,1,20000,0.017564113500000002,0.0002583874323657371,0.16942999999999997,0.0
4,VGG19,Height,IID,2,2,20000,0.0733636725,0.02203684094284502,0.67675,0.0
2,ResNet50,Ratio,COV,8,4,20000,0.033129228999999996,0.0016544762670289092,0.38308000000000003,0.0
3,ResNet50,Ratio,ADV,8,2,20000,0.12177102649999999,0.01325098974134836,0.5032300000000001,0.0
2,ResNet50,Height,ADV,16,2,20000,0.254737906,0.05644829862346639,1.03373,1.9999999999992246e-05
5,ResNet50,Height,OOD,8,4,20000,0.3258462565,0.04507530015143861,0.81126,2.0000000000020002e-05
5,ResNet50,Height,COV,4,1,20000,0.032231024999999996,0.0014866478000793819,0.31223999999999996,0.0
1,VGG19,Ratio,ADV,4,1,20000,0.013093331999999997,0.00021250652144384795,0.15437,0.0
1,VGG19,Height,IID,8,0,20000,0.015336274,0.00015168165082946375,0.09600000000000003,0.0
